  rank      time
    30    0.0781ms
   150    8.2891ms
   600    498.82ms
   700   788.828ms
   900   1688.89ms
     5    0.0023ms
    13    0.0098ms
   150     8.264ms
   300    63.687ms
    30    0.0787ms
   150    8.2567ms
   300   64.5127ms
  1000   2319.77ms
   100   726.311ms
   100   627.383ms
   100   592.377ms
   100   603.214ms
   100   602.936ms
   100    628.33ms
   100   632.898ms
  1000   64272.1ms
  1000   66392.9ms
  1000   63509.1ms
   100   5.66329ms
   100   7.18178ms
   500   678.033ms
   500   1188.63ms
